Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
1,RELIANCE,RELIANCE.NS,Reliance Industries Limited,"70,603,579",1,1,738561
2,TCS,TCS.NS,Tata Consultancy Services Limited,"68,522,297",1,1,2953217
3,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Limited,"49,758,412",1,1,356865
4,HDFCBANK,HDFCBANK.NS,HDFC Bank Limited,"47,248,232",1,1,341249
5,HDFC,HDFC.NS,Housing Development Finance Corporation Limited,"28,235,708",1,0,340481
6,INFY,INFY.NS,Infosys Limited,"27,320,750",1,1,408065
7,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Limited,"24,786,522",1,1,492033
8,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,"24,053,552",1,1,2714625
9,ITC,ITC.NS,ITC Limited,"21,105,761",1,0,424961
10,ICICIBANK,ICICIBANK.NS,ICICI Bank Limited,"20,954,333",1,1,1270529
11,SBIN,SBIN.NS,State Bank of India,"17,568,098",1,1,779521
12,ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,"15,985,031",1,1,60417
14,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,"13,332,226",1,1,81153
15,MARUTI,MARUTI.NS,Maruti Suzuki India Limited,"12,954,099",1,1,2815745
16,HCLTECH,HCLTECH.NS,HCL Technologies Limited,"11,842,434",1,1,1850625
17,LT,LT.NS,Larsen & Toubro Limited,"11,349,263",1,1,2939649
18,WIPRO,WIPRO.NS,Wipro Limited,"11,237,966",1,1,969473
19,AXISBANK,AXISBANK.NS,Axis Bank Limited,"10,691,225",1,0,1510401
21,HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Limited,"8,907,273",1,0,119553
24,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,"8,452,857",1,1,857857
27,TITAN,TITAN.NS,Titan Company Limited,"8,289,259",1,1,897537
28,DABUR,DABUR.NS,Dabur India Limited,"7,952,671",1,0,197633
30,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Limited,"7,306,311",1,1,4268801
34,BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,"6,466,072",1,1,140033
35,SBILIFE,SBILIFE.NS,SBI Life Insurance Company Limited,"6,410,000",1,0,5582849
37,BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,"5,852,014",1,1,4267265
39,TECHM,TECHM.NS,Tech Mahindra Limited,"5,461,323",1,1,3465729
40,GODREJCP,GODREJCP.NS,Godrej Consumer Products Limited,"5,324,704",1,0,2585345
41,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,"5,280,303",1,0,2800641
42,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Limited,"5,185,536",1,1,225537
43,ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,"5,107,327",1,0,4774913
44,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,"5,105,792",1,1,3861249
46,BERGEPAINT,BERGEPAINT.NS,Berger Paints (I) Limited,"4,835,740",1,0,103425
47,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Limited,"4,492,424",1,0,1086465
49,INDIGO,INDIGO.NS,InterGlobe Aviation Limited,"4,102,506",1,1,2865921
50,SIEMENS,SIEMENS.NS,Siemens Limited,"3,965,043",1,0,806401
51,EICHERMOT,EICHERMOT.NS,Eicher Motors Limited,"3,575,779",1,0,232961
52,MARICO,MARICO.NS,Marico Limited,"3,548,161",1,0,1041153
53,M&M,M&M.NS,Mahindra & Mahindra Limited,"3,542,477",1,1,519937
54,JSWSTEEL,JSWSTEEL.NS,JSW Steel Limited,"3,535,185",1,1,3001089
57,CIPLA,CIPLA.NS,Cipla Limited,"3,409,166",1,1,177665
59,DLF,DLF.NS,DLF Limited,"3,402,321",1,0,3771393
62,BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited,"3,280,820",1,1,579329
63,BIOCON,BIOCON.NS,Biocon Limited,"3,246,600",1,0,2911489
64,HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Limited,"3,188,739",1,1,345089
65,GRASIM,GRASIM.NS,Grasim Industries Limited,"3,131,781",1,0,315393
67,TATASTEEL,TATASTEEL.NS,Tata Steel Limited,"3,037,016",1,1,895745
68,HAVELLS,HAVELLS.NS,Havells India Limited,"3,006,670",1,0,2513665
75,CADILAHC,CADILAHC.NS,Cadila Healthcare Limited,"2,735,952",1,0,2029825
76,IGL,IGL.NS,Indraprastha Gas Limited,"2,715,653",1,0,2883073
77,LUPIN,LUPIN.NS,Lupin Limited,"2,669,907",1,0,2672641
78,UPL,UPL.NS,UPL Limited,"2,494,608",1,1,2889473
81,BANKBARODA,BANKBARODA.NS,Bank of Baroda,"2,474,313",1,0,1195009
83,MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Limited,"2,457,901",1,0,6054401
85,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Limited,"2,436,375",1,1,1346049
86,UBL,UBL.NS,United Breweries Limited,"2,429,487",1,0,4278529
88,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,"2,420,805",1,0,70401
89,VEDL,VEDL.NS,Vedanta Limited,"2,405,026",1,1,784129
93,TATAMOTORS,TATAMOTORS.NS,Tata Motors Limited,"2,194,716",1,1,884737
95,HINDALCO,HINDALCO.NS,Hindalco Industries Limited,"2,149,482",1,1,348929
106,JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Limited,"1,941,858",1,1,4632577
113,ACC,ACC.NS,ACC Limited,"1,818,720",1,0,5633
127,BATAINDIA,BATAINDIA.NS,Bata India Limited,"1,582,303",1,0,94977
128,VOLTAS,VOLTAS.NS,Voltas Limited,"1,577,989",1,0,951809
134,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,"1,513,339",1,0,6401
135,SRTRANSFIN,SRTRANSFIN.NS,Shriram Transport Finance Company Limited,"1,498,901",1,0,1102337
147,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,"1,263,744",1,0,54273
152,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,"1,195,063",1,0,175361
154,ZEEL,ZEEL.NS,Zee Entertainment Enterprises Limited,"1,190,519",1,1,975873
155,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Limited,"1,187,472",1,0,511233
161,SUNTV,SUNTV.NS,Sun TV Network Limited,"1,126,885",1,1,3431425
162,EXIDEIND,EXIDEIND.NS,Exide Industries Limited,"1,118,600",1,0,173057
165,BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,"1,093,900",1,0,108033
169,L&TFH,L&TFH.NS,L&T Finance Holdings Limited,"1,026,261",1,1,6386689
205,FEDERALBNK,FEDERALBNK.NS,The Federal Bank  Limited,"818,380",1,1,261889
206,AMARAJABAT,AMARAJABAT.NS,Amara Raja Batteries Limited,"816,569",1,1,25601
208,ESCORTS,ESCORTS.NS,Escorts Limited,"812,194",1,0,245249
223,RBLBANK,RBLBANK.NS,RBL Bank Limited,"688,970",1,1,4708097
236,PVR,PVR.NS,PVR Limited,"607,672",1,1,3365633
243,GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Limited,"580,843",1,0,1895937
245,TATACHEM,TATACHEM.NS,Tata Chemicals Limited,"569,508",1,0,871681
284,IBULHSGFIN,IBULHSGFIN.NS,Indiabulls Housing Finance Limited,"413,678",1,1,7712001
285,NIFTY.NS,NIFTY.NS,NIFTY.NS,"413,678",1,1,256265
286,BANKNIFTY.NS,BANKNIFTY.NS,BANKNIFTY.NS,"413,678",1,1,260105
